,Filename,RelFreq Noun,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORGS
49,0176.a3.txt,2102.75,1051.37,489.84,406.21,4,0,0
50,0177.a3.txt,1809.21,1008.77,679.82,679.82,4,0,0
51,0178.a3.txt,2100.31,1013.58,794.15,626.96,0,0,0
52,0179.a3.txt,2206.57,1150.23,575.12,399.06,2,0,0
53,0182.a3.txt,2062.57,1112.4,637.31,590.96,0,0,0
54,0185.a3.txt,1898.88,1067.42,595.51,471.91,2,0,0
55,0186.a3.txt,1872.66,1011.24,786.52,724.09,2,0,0
56,0187.a3.txt,1652.28,998.77,863.13,468.56,7,0,0
57,0188.a3.txt,1697.88,1186.02,736.58,536.83,1,0,0
58,0189.a3.txt,1910.71,1151.79,562.5,508.93,0,0,0
59,0190.a3.txt,1526.37,1234.57,527.5,460.16,1,0,0
60,0192.a3.txt,1498.03,1261.5,551.91,236.53,1,0,0
61,0193.a3.txt,2017.43,1207.97,585.31,348.69,2,1,0
62,0195.a3.txt,1952.74,970.15,422.89,621.89,1,0,0
63,0196.a3.txt,1970.72,1238.74,731.98,315.32,0,0,0
64,0198.a3.txt,1817.12,1019.93,468.93,480.66,2,1,0
65,0199.a3.txt,1887.02,1105.77,564.9,540.87,0,0,0
66,0200.a3.txt,2158.37,1047.25,727.97,779.05,0,0,0
67,0202.a3.txt,1942.96,1140.82,926.92,409.98,0,0,0
68,0203.a3.txt,2357.14,1095.24,738.1,380.95,4,0,0
69,0204.a3.txt,2038.57,1129.48,564.74,523.42,2,0,0
70,0205.a3.txt,2067.21,1028.51,611.0,448.07,2,0,0
71,0206.a3.txt,2250.33,1025.3,599.2,319.57,3,0,0
72,0207.a3.txt,1653.85,1243.59,615.38,307.69,0,1,0
73,0208.a3.txt,1911.42,1223.78,454.55,757.58,0,0,0
74,0209.a3.txt,2248.74,1155.78,565.33,276.38,3,0,0
75,0213.a3.txt,1765.39,1358.89,778.16,406.5,1,0,0
76,0214.a3.txt,1688.31,956.32,850.06,543.09,5,0,0
77,0215.a3.txt,1717.17,1254.21,454.55,420.88,2,0,0
78,0216.a3.txt,2311.32,955.19,683.96,448.11,1,0,0
79,0218.a3.txt,1930.87,1239.57,584.03,345.65,0,0,0
80,0219.a3.txt,2114.14,1219.2,557.72,596.63,1,0,0
81,0221.a3.txt,1899.44,1256.98,572.63,321.23,0,0,0
82,0222.a3.txt,1875.83,1294.58,541.61,435.93,2,0,0
83,0223.a3.txt,1821.35,1113.69,603.25,638.05,0,0,0
84,0224.a3.txt,1870.23,966.92,674.3,470.74,6,0,0
85,0226.a3.txt,1968.5,967.38,506.19,551.18,2,0,0
86,0227.a3.txt,1874.16,1070.95,709.5,481.93,1,0,0
87,0231.a3.txt,2269.86,1059.27,680.96,466.58,1,0,0
88,0232.a3.txt,1774.79,1285.19,771.11,440.64,1,0,0
89,0234.a3.txt,1782.44,1074.71,576.67,406.29,2,0,0
90,0235.a3.txt,1660.42,1148.56,486.89,362.05,1,0,0
91,0236.a3.txt,1810.22,1226.28,569.34,656.93,2,0,0
92,0237.a3.txt,2226.42,955.97,842.77,352.2,0,0,0
93,0238.a3.txt,1792.34,1297.9,580.96,296.66,0,0,0
94,1003.a3.txt,2214.11,1159.77,729.93,413.63,7,0,0
95,1005.a3.txt,2000.0,1121.95,682.93,475.61,0,0,0
96,1006.a3.txt,1819.17,1209.15,773.42,610.02,2,1,0
97,1007.a3.txt,2002.46,1154.79,712.53,601.97,0,0,0
98,1008.a3.txt,1813.84,1002.39,584.73,608.59,1,0,0
99,1009.a3.txt,1910.11,1165.73,772.47,351.12,0,0,0
100,1012.a3.txt,2070.77,1166.45,720.84,445.61,1,0,0
101,1013.a3.txt,1894.6,1066.5,589.71,388.96,1,0,0
102,1014.a3.txt,2165.52,1062.07,620.69,331.03,2,0,0
103,1017.a3.txt,1939.46,1266.82,728.7,571.75,0,0,0
104,1018.a3.txt,1874.18,1336.83,668.41,498.03,0,0,0
105,1020.a3.txt,2005.73,1107.93,611.27,573.07,1,0,0
106,1021.a3.txt,1706.23,1275.96,578.64,430.27,1,0,0
107,1022.a3.txt,2184.99,1246.65,683.65,375.34,1,0,0
108,1023.a3.txt,1748.4,1002.13,671.64,842.22,3,1,0
109,1032.a3.txt,1531.32,1287.7,777.26,672.85,0,0,0
